FLOPs,Time
8000000,0.0195
9600000,0.0195
11200000,0.0205
12800000,0.0205
14400000,0.0225
16000000,0.0235
17600,0.0082
35200,0.0164
52800,0.0164
70400,0.0164
88000,0.0164
105600,0.0174
123200,0.0174
140800,0.0174
158400,0.0164
176000,0.0164
352000,0.0174
528000,0.0174
704000,0.0174
880000,0.0174
1056000,0.0184
1232000,0.0184
1408000,0.0184
1584000,0.0184
1760000,0.0184
3520000,0.0184
5280000,0.0194
7040000,0.0194
8800000,0.0195
10560000,0.0195
12320000,0.0215
14080000,0.0225
15840000,0.0236
17600000,0.0246
17600,0.0082
35200,0.0164
52800,0.0164
70400,0.0164
88000,0.0174
105600,0.0174
123200,0.0174
140800,0.0174
158400,0.0164
176000,0.0164
352000,0.0174
528000,0.0174
704000,0.0174
880000,0.0174
1056000,0.0184
1232000,0.0184
1408000,0.0184
1584000,0.0184
1760000,0.0184
3520000,0.0184
5280000,0.0194
7040000,0.0195
8800000,0.0195
10560000,0.0195
12320000,0.0205
14080000,0.0225
15840000,0.0236
17600000,0.0236
19200,0.0082
38400,0.0184
57600,0.0184
76800,0.0184
96000,0.0184
115200,0.0184
134400,0.0184
153600,0.0195
172800,0.0184
192000,0.0184
384000,0.0184
576000,0.0195
768000,0.0195
960000,0.0195
1152000,0.0195
1344000,0.0195
1536000,0.0205
1728000,0.0205
1920000,0.0205
3840000,0.0205
5760000,0.0205
7680000,0.0215
9600000,0.0215
11520000,0.0215
13440000,0.0236
15360000,0.0246
17280000,0.0256
19200000,0.0266
19200,0.0082
38400,0.0184
57600,0.0184
76800,0.0184
96000,0.0184
115200,0.0184
134400,0.0184
153600,0.0195
172800,0.0184
192000,0.0184
384000,0.0194
576000,0.0195
768000,0.0195
960000,0.0195
1152000,0.0195
1344000,0.0195
1536000,0.0205
1728000,0.0205
1920000,0.0205
3840000,0.0205
5760000,0.0205
7680000,0.0215
9600000,0.0215
11520000,0.0215
13440000,0.0236
15360000,0.0246
17280000,0.0256
19200000,0.0266
20800,0.0082
41600,0.0133
62400,0.0133
83200,0.0123
104000,0.0133
124800,0.0133
145600,0.0133
166400,0.0123
187200,0.0133
208000,0.0133
416000,0.0123
624000,0.0133
832000,0.0133
1040000,0.0133
1248000,0.0133
1456000,0.0143
1664000,0.0133
1872000,0.0143
2080000,0.0143
4160000,0.0164
6240000,0.0164
8320000,0.0205
10400000,0.0205
12480000,0.0205
14560000,0.0256
16640000,0.0266
18720000,0.0276
20800000,0.0277
20800,0.0082
41600,0.0133
62400,0.0133
83200,0.0123
104000,0.0133
124800,0.0133
145600,0.0133
166400,0.0123
187200,0.0133
208000,0.0133
416000,0.0123
624000,0.0133
832000,0.0133
1040000,0.0133
1248000,0.0133
1456000,0.0143
1664000,0.0133
1872000,0.0143
